"PMID"	"First author"	"CITY"	"GEOLONG"	"GEOLAT"	"COUNTRY"	"#SAMPLES"		"PMID"
7509627	"Mohamed AN"	"Detroit"	-83.05	42.33	"United States"	1		7509627
7519052	"Suijkerbuijk RF"	"Nijmegen"	5.84	51.81	"The Netherlands"	6		7519052
7519827	"Speicher MR"	"Heidelberg"	8.69	49.41	"Germany"	17		7519827
7529134	"Visakorpi T"	"Tampere"	23.79	61.5	"Finland"	40		7529134
7530484	"Cher ML"	"San Francisco"	-122.42	37.77	"United States"	18		7530484
7536458	"Bentz M"	"Heidelberg"	8.69	49.41	"Germany"	10		7536458
7536461	"Kallioniemi A"	"Tampere"	23.79	61.5	"Finland"	26		7536461
7585611	"Ried T"	"Bethesda"	-77.1	38.98	"United States"	20		7585611
7627945	"Nacheva E"	"Cambridge UK"	0.12	52.21	"United Kingdom"	1		7627945
7664261	"Wiltshire RN"	"Ann Arbor"	-83.74	42.28	"United States"	6		7664261
7669737	"Levin NA"	"San Francisco"	-122.42	37.77	"United States"	10		7669737
7778674	"Voorter C"	"Maastricht"	5.69	50.85	"The Netherlands"	14		7778674
7780145	"Bentz M"	"Heidelberg"	8.69	49.41	"Germany"	28		7780145
7795646	"Visakorpi T"	"Tampere"	23.79	61.5	"Finland"	39		7795646
7896451	"Kim DH"	"San Francisco"	-122.42	37.77	"United States"	39		7896451
8033101	"Speicher MR"	"Heidelberg"	8.69	49.41	"Germany"	11		8033101
8134364	"Kallioniemi A"	"Tampere"	23.79	61.5	"Finland"	38		8134364
8137295	"Ried T"	"Heidelberg"	8.69	49.41	"Germany"	13		8137295
8203461	"Schröck E"	"Heidelberg"	8.69	49.41	"Germany"	9		8203461
8383093	"Joos S"	"Heidelberg"	8.69	49.41	"Germany"	4		8383093
8521410	"Iwabuchi H"	"San Francisco"	-122.42	37.77	"United States"	56		8521410
8527379	"Forus A"	"Nijmegen"	5.84	51.81	"The Netherlands"	14		8527379
8527390	"Forus A"	"Nijmegen"	5.84	51.81	"The Netherlands"	54		8527390
8547649	"Houldsworth J"	"New York City"	-74.01	40.71	"United States"	1		8547649
8552665	"Heselmeyer K"	"Bethesda"	-77.1	38.98	"United States"	44		8552665
8558174	"Schlegel J"	"Marburg"	8.77	50.8	"Germany"	24		8558174
8569172	"Weber RG"	"Heidelberg"	8.69	49.41	"Germany"	20		8569172
8605115	"Joos S"	"Heidelberg"	8.69	49.41	"Germany"	10		8605115
8608249	"Joos S"	"Heidelberg"	8.69	49.41	"Germany"	26		8608249
8622452	"Prescher G"	"Berlin"	13.41	52.52	"Germany"	38		8622452
8648824	"Presti JC"	"San Francisco"	-122.42	37.77	"United States"	15		8648824
8652842	"Monni O"	"Helsinki"	24.94	60.17	"Finland"	32		8652842
8674067	"Cher ML"	"San Francisco"	-122.42	37.77	"United States"	31		8674067
8689616	"Kivipensas P"	"Helsinki"	24.94	60.17	"Finland"	11		8689616
